"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","RDataPath","DispatchClass","Tags","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","methylclockData/v2022_04/methylclock_references.rda","Rda","",""
"CpGs BNN clock","Horvath’s CpGs to train a Bayesian Neural Network (BNN)Alfonso and Gonzalez (2020)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","character","methylclockData/v2022_04/cpgs.bn.rda","Rda","",""
"Coefficients Bohlin's clock","96 CpGs described in Bohlin et al. (2016)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefBohlin.rda","Rda","",""
"Coefficients Hannum's clock","71 CpGs described in Hannum et al. (2013)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefHannum.rda","Rda","",""
"Coefficients Hobarth's clock","353 CpGs described in Horvath (2013)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefHorvath.rda","Rda","",""
"Coefficients Knight's clock","148 CpGs described in Knight et al. (2016)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefKnightGA.rda","Rda","",""
"Coefficients Lee's clock","Three different biological clocks described in Lee et al. (2019) : RPC clock, CPC clock, Refined RPC clock","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefLeeGA.rda","Rda","",""
"Coefficients Levine clock","Also know as PhenoAge: 513 CpGs describedin Levine et al. (2018)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefLevine.rda","Rda","",""
"Coefficients Mayne's clock","62 CpGs described in Mayne et al. (2017)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefMayneGA.rda","Rda","",""
"Coefficients PedBE clock","84 CpGs described in McEwen et al. (2019).","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefPedBE.rda","Rda","",""
"Coefficients Horvath’s skin+blood clock","391 CpGs described in Horvath et al. (2018)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefSkin.rda","Rda","",""
"Coefficients Telomere Length’s clock","140 CpGs described in Lu et al. (2019)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefTL.rda","Rda","",""
"Coefficients Wu's clock","111 CpGs described in Wu et al. (2019)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefWu.rda","Rda","",""
"Methylation Data Example","Methylation data example","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/MethylationDataExample55.rda","Rda","",""
"probe Annotation 21k","probe Annotation 21k","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/probeAnnotation21kdatMethUsed.rda","Rda","",""
"Test Dataset","Test dataset","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","Lists","methylclockData/v2022_04/TestDataset.rda","Rda","",""
"References","References","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","May 2021","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/references.rda","Rda","",""
"Coefficients BLUPclock","319607 CpGs described in Zhang et al. (2019)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","March 2022","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefBlup.rda","Rda","",""
"Coefficients EN clock","514 CpGs described in Zhang et al. (2019)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","March 2022","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefEN.rda","Rda","",""
"Coefficients EPIC clock","176 CpGs described in Haftorn et al. (2021)","3.15","hg19","RDA","https://github.com/isglobal-brge/methylclock/blob/master/data","March 2022","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","data.frame","methylclockData/v2022_04/coefEPIC.rda","Rda","",""
