"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags"
"Coefficients DunedinPACE pace-of-aging estimator","173 CpGs described in Belsky (2022)","3.24","hg19","RDA","https://github.com/danbelsky/DunedinPACE","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefDunedinPACE.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"DunedinPACE reference means for probe normalization","Reference probe means used to normalize the DunedinPACE input, from Belsky (2022)","3.24","hg19","RDA","https://github.com/danbelsky/DunedinPACE","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefDunedinPACEGS.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients NEOage post-menstrual age clock (450K)","408 CpGs described in Graw et al. (2021)","3.24","hg19","RDA","https://doi.org/10.18632/aging.203637","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefNEOaPMA450K.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients NEOage post-menstrual age clock (EPIC)","520 CpGs described in Graw et al. (2021)","3.24","hg19","RDA","https://doi.org/10.18632/aging.203637","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefNEOaPMAEPIC.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients NEOage post-natal age clock (450K)","302 CpGs described in Graw et al. (2021)","3.24","hg19","RDA","https://doi.org/10.18632/aging.203637","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefNEOaPNA450K.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients NEOage post-natal age clock (EPIC)","508 CpGs described in Graw et al. (2021)","3.24","hg19","RDA","https://doi.org/10.18632/aging.203637","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefNEOaPNAEPIC.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients Vidal-Bralo blood clock","8 CpGs described in Vidal-Bralo et al. (2016)","3.24","hg19","RDA","https://doi.org/10.3389/fgene.2016.00126","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefVidalBralo.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"CpG set for the epiTOC1 mitotic counter","385 CpGs described in Yang et al. (2016)","3.24","hg19","RDA","https://github.com/aet21/EpiMitClocks","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefEpiTOC1.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"CpG set for the HypoClock solo-WCGW counter","678 CpGs described in Teschendorff (2020)","3.24","hg19","RDA","https://github.com/aet21/EpiMitClocks","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefHypoClock.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"CpG set for the stemTOC mitotic counter","371 CpGs described in Zhu et al. (2024)","3.24","hg19","RDA","https://github.com/aet21/EpiMitClocks","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefStemTOC.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients CausAge causal clock","581 CpGs described in Ying et al. (2024)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefCausAge.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients DamAge damaging causal clock","1089 CpGs described in Ying et al. (2024)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefDamAge.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients AdaptAge adaptive causal clock","998 CpGs described in Ying et al. (2024)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefAdaptAge.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients Lin blood clock","99 CpGs described in Lin et al. (2016)","3.24","hg19","RDA","https://doi.org/10.18632/aging.100908","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefLin.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients Weidner three-CpG clock","3 CpGs described in Weidner et al. (2014)","3.24","hg19","RDA","https://doi.org/10.1186/gb-2014-15-2-r24","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefWeidner.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"AltumAge input CpG order","The input CpG identifiers in the order the AltumAge network expects, from de Lima Camillo et al. (2022)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","character","Rda","https://zenodo.org/records/21840402/files/","coefAltumAgeRef.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"AltumAge neural network weights and scaler","Layer weights and input scaler of the AltumAge neural network, from de Lima Camillo et al. (2022)","3.24","hg19","HDF5","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","character","FilePath","https://zenodo.org/records/21840402/files/","coefAltumAge.hdf5","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients McCartney smoking EpiScore","233 CpGs described in McCartney et al. (2018)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefMcCartneySmoking.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients McCartney alcohol EpiScore","450 CpGs described in McCartney et al. (2018)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefMcCartneyAlcohol.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
"Coefficients McCartney body mass index EpiScore","1109 CpGs described in McCartney et al. (2018)","3.24","hg19","RDA","https://github.com/bio-learn/biolearn","August 2026","Homo sapiens",9606,FALSE,NA,"Dolors Pelegri-Siso <dolors.pelegri@isglobal.org>","data.frame","Rda","https://zenodo.org/records/21840402/files/","coefMcCartneyBMI.rda","methylclock:DNAmAge:EpigeneticClock:DNAMethylation"
